year,rating,review
2023,5,Very good app in finding trip tickets at discounted rates and real time alerts when price drops. Life saver.
2023,5,"I have been happily and successfully using Skyscanners for over a decade now, simply because it is the best flight application available. Excellent. Many thanks."
2023,1,"I booked through make my trip a flight from dubai to cairo and due to emergency i was obliged to cancel my ticket and when i request a refund they inform me the my ticket is not Refundable. This total loss for me i trusted skyscanner agencies, and this really forced me to stop using skyscanner anymore."
2023,1,"Used to be the best app to find cheapest connection, now I cannot see prices in monthly view. Really bad decision to remove that function."
2023,5,A very useful platform for looking for flights tickets. Love using it because the platform has always been giving me a very good results.
2023,4,"Such a great app. But lately Skyscanner did not send me the updated price anymore through my email, which means I have to check manually. Can you please solve this problem. Thank you"
2023,5,really like this apps. easy to find the cheap tickets. every single minutes open to checking the which countries are cheap ticket😄
2023,1,"WHY DOES THE WEEK START ON SUNDAY?! Why can't it be changed? So confusing, I almost booked the wrong dates because of that! I wrote about it a year ago and you told me you'd tell the development team - well, where is the change?"
2023,1,Terrible App.... Sack the development manager and team.... Plus anyone else who had anything to do with developing and testing of this useless piece of software and thought that it was fit for purpose and suitable for release.
2023,2,Has not been the same since they removed the cheapest flight search.....even with the new fly anytime search......not the same.
2023,5,"I love Skyscanner, it helps me find the best flight options, it's fast and free and finds connections Google Flights doesn't. Thank you for providing this service!"
2023,1,"You have been warrned Do not use online flight booking via Skyscanner/Travelist as they most likely double book your flight, charge you and then cancel your booking because it is double booked. It is over two months that I am trying to contact their customer service with no luck.I have sent numerous email and I keep getting automatic reply email that, they will respond within 7days but this is not true at all. I used the airline booking service directly without error, confident and informative"
2023,1,"I am giving 1 star to get some traction on feature requests. Can you please add a feature to blocklist a set of airlines, so that it doesn't show up in result? For example: I don't want to trips with China Airlines. Another feature is to have the ability to filter out flights with ""Self transfer"" requirements."
2023,1,Skyscanner works perfectly on my computer but I can't use it on my phone. Every time I want to edit the date of my return flight the app changes the first flight to the same date as the return!! It's maddening. Also my filters switch back to my previous choice so I need to adjust them again after every selection I get. I have to give 1 star to publish this otherwise it would be zero. Xiaomi Redmi Note 9 Pro. On my Redmi Note 8 Pro every search stops near completion wth connection problems.
2023,2,"just downloaded it, and it's immediately so unhelpful. trying to explore flights from Atlanta to literally any airport in Mexico, and it says no flights available... seems to not work for trips longer than a week. renders the explore feature completely useless."
2023,1,"Used to love this app, Skyscanner was always my go to for flights. But now the site for flights is always down saying there's no Wi-Fi connection, but the rest of the app hotels ect works fine. It just won't budge and I don't understand why this happening. I will uninstall and go elsewhere if this carries on"
2023,4,There are several filter options missing. - need an option for global search (e.g UK to everywhere) along with outbound time and inbound time and same airport and direct flight option. ( all in one search - not by country ) contact me if you need more use case details
2023,1,Stopped working correctly. It will show the dates and prices but when I select those dates the prices are inaccurate and cost way more. Please fix this asap or I will delete the app and relay the problems to any friends using this app. If I choose a $41 departure flight and a $52 return flight the price shouldnt be $159. Get it together Devs!
2023,1,"My name is Priyanka, and today I booked a ticket for my friend through Happy Fares via Skyscanner. I am encountering difficulties as I have not received my ticket, and I am unable to check its status using the provided PNR number."
2023,5,Great app to use. lots of deals you jist need to look and try different locations and combinations.
2023,1,Seriously Disappointed! Rate fluctuating multiple searches causes price increase rigged system not showing the cost efficient options as pramoted! Really disappointing!
2023,5,"This application allows me to look for the cheapest places to go within a specific range of dates, this is across all airlines."
2023,2,"There are 2 service providers which make fool of people. BudgetTicket & Happyfares always shows lower prices, but when we go to book ticket suddenly price increases. Always facing same price increase issue with both service providers. Skyscanner is not taking any actions against these service providers."
2023,1,The new ui with tiles is pretty bad. The last version had the best ui with bigger pictures and bigger tiles. I wish I could dowgrade to the previous version. It was very smooth and user friendly.
2023,3,"Most partners are showing false information, while booking ,rate 90% will differ, sometimes flight as well."
2023,1,"Don't trust this app guys, my money was deducted but flight has not generate, even from the provider agency didnot responding for e-mails,calls. Plz don't choose these app🙏"
2023,2,Good app. Have found amazing deals on this app. But only reason I'm giving this a 2 star is bcs they keep working with BUDGET AIR. BA is a scam. They have scammed me and hundreds of others out of their money. Even if you buy the cancelation protection plan you will spend 5+hours on hold to be disconnected again and again. When you do talk to someone they'll tell you that they can't give you any money back even tho that's the whole point of the plan. This app would be better I'd they dropped them
